Element	Line	Energy	Intensity
Li	Ka1	0.0543	1.0
Be	Ka1	0.1085	1.0
B	Ka1	0.1833	1.0
C	Ka1	0.277	1.0
N	Ka1	0.3924	1.0
V	La1	0.5113	1.0
O	Ka1	0.5249	1.0
Cr	La1	0.5728	1.0
Mn	La1	0.6374	1.0
F	Ka1	0.6768	1.0
Fe	La1	0.705	1.0
Co	La1	0.7762	1.0
Ne	Ka1	0.8486	1.0
Ni	La1	0.8515	1.0
Zn	L-I	0.882	0.02
Cu	La1	0.9297	1.0
Zn	La1	1.0117	1.0
Na	Ka1	1.04098	1.0
Mg	Ka1	1.2536	1.0
As	La1	1.282	1.0
Se	La1	1.3791	1.0
Br	La1	1.48043	1.0
Al	Ka1	1.4867	1.0
Br	Lb1	1.5259	0.48
Rb	La1	1.69413	1.0
Si	Ka1	1.73998	1.0
Rb	Lb1	1.75217	0.48
Sr	La1	1.80656	1.0
Si	Kb1	1.83594	0.13
Pb	Mz1	1.84	0.02
Sr	Lb1	1.87172	0.48
P	Ka1	2.0137	1.0
Zr	La1	2.04236	1.0
Pt	Ma	2.065	15.0
Zr	Lb1	2.1244	0.48
P	Kb1	2.1391	0.13
Au	Ma	2.142	0.9
Hg	Ma	2.195	0.9
Zr	Lb2	2.2194	0.15
Zr	Lg1	2.3027	0.05
S	Ka1	2.30784	1.0
Pb	Ma	2.345	15.0
Bi	Ma	2.422	15.0
S	Kb1	2.46404	0.13
Cl	Ka1	2.62239	1.0
Pb	Mg	2.6538	0.02
Rh	La1	2.69674	1.0
Cd	L-I	2.767	0.02
Cl	Kb1	2.8156	0.13
Rh	Lb1	2.83441	0.48
Pd	La1	2.83861	1.0
Ar	Ka1	2.9577	1.0
Ag	La1	2.98431	1.0
Pd	Lb1	2.99022	0.48
Rh	Lb2	3.0013	0.15
Pb	MIINIV	3.012	0.02
Bi	MIINIV	3.125	0.02
Cd	La1	3.13373	1.0
Rh	Lg1	3.1438	0.05
Ag	Lb1	3.15094	0.48
U	Ma	3.171	15.0
Pd	Lb2	3.17179	0.15
Ar	Kb1	3.1905	0.13
K	Ka1	3.3138	1.0
Cd	Lb1	3.31657	0.48
Pd	Lg1	3.3287	0.05
Ag	Lb2	3.34781	0.15
Sn	La1	3.44398	1.0
Ag	Lg1	3.51959	0.05
Cd	Lb2	3.52812	0.15
K	Kb1	3.5896	0.13
Sb	La1	3.60472	1.0
Sn	Lb1	3.6628	0.48
Ca	Ka1	3.69168	1.0
Cd	Lg1	3.71686	0.05
Sb	Lb1	3.84357	0.48
Sn	Lb2	3.90486	0.15
I	La1	3.93765	1.0
Ba	L-I	3.954	0.02
Ca	Kb1	4.0127	0.13
Sb	Lb2	4.10078	0.15
Sn	Lg1	4.13112	0.05
I	Lb1	4.22072	0.48
Sb	Lg1	4.34779	0.05
Ba	La1	4.46626	1.0
I	Lb2	4.5075	0.15
Ti	Ka1	4.51084	1.0
I	Lg1	4.8009	0.05
Ba	Lb1	4.82753	0.48
Ti	Kb1	4.93181	0.13
V	Ka1	4.9522	1.0
Ba	Lb2	5.1565	0.15
Cr	Ka1	5.41472	1.0
V	Kb1	5.42729	0.13
Ba	Lg1	5.5311	0.05
Ba	Lg3	5.8104	0.02
Mn	Ka1	5.89875	1.0
Cr	Kb1	5.94671	0.13
Fe	Ka1	6.40384	1.0
Mn	Kb1	6.49045	0.13
Co	Ka1	6.93032	1.0
Fe	Kb1	7.05798	0.13
Ni	Ka1	7.47815	1.0
Co	Kb1	7.64943	0.13
Cu	Ka1	8.04778	1.0
Ni	Kb1	8.26466	0.13
Zn	Ka1	8.63886	1.0
Cu	Kb1	8.90529	0.13
Pb	L-I	9.184	0.02
Pt	La1	9.4423	1.0
Zn	Kb1	9.572	0.13
Au	La1	9.7133	1.0
Hg	La1	9.9888	1.0
Pb	La2	10.4495	0.02
As	Ka1	10.54372	1.0
Pb	La1	10.5515	1.0
Bi	La2	10.73091	0.02
Bi	La1	10.8388	1.0
Pt	Lb1	11.0707	0.48
Se	Ka1	11.2224	1.0
Pt	Lb2	11.2505	0.15
Au	Lb1	11.4423	0.48
Au	Lb2	11.5847	0.15
As	Kb1	11.7262	0.13
Hg	Lb1	11.8226	0.48
Br	Ka2	11.8776	0.02
Br	Ka1	11.9242	1.0
Se	Kb1	12.4959	0.13
Pb	Lb1	12.6137	0.48
Pt	Lg1	12.942	0.05
Bi	Lb1	13.0235	0.48
Br	Kb1	13.2914	0.13
Rb	Ka2	13.3358	0.02
Au	Lg1	13.3817	0.05
Rb	Ka1	13.3953	1.0
U	La2	13.4388	0.02
U	La1	13.6147	1.0
Hg	Lg1	13.8301	0.05
Sr	Ka2	14.0979	0.02
Sr	Ka1	14.165	1.0
Pb	Lg1	14.7644	0.05
Rb	Kb1	14.9613	0.13
Bi	Lg1	15.2477	0.05
Zr	Ka2	15.6909	0.02
Zr	Ka1	15.7751	1.0
Sr	Kb1	15.8357	0.13
U	Lb2	16.4283	0.15
U	Lb1	17.22	0.48
Zr	Kb1	17.6678	0.13
